artist_name,source,track_name,play_count,listeners,rank
Kabza De Small,lastfm,Abalele,69162,10374,1
Kabza De Small,lastfm,Asibe Happy,48312,7209,2
Kabza De Small,lastfm,"Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)",39064,6845,3
Kabza De Small,lastfm,Sponono,25893,5450,4
Kabza De Small,lastfm,Wishi Wishi (feat. Scotts Maphuma & Young Stunna),17964,3997,5
Kabza De Small,lastfm,Khusela (feat. Msaki),20499,3539,6
Kabza De Small,lastfm,"Sponono (feat. Wizkid, Burna Boy, Cassper Nyovest & Madumane)",16601,3467,7
Kabza De Small,lastfm,Ubumnandi (feat. Nia Pearl & MDU a.k.a TRP),7757,3159,8
Kabza De Small,lastfm,Amazwe (feat. Mawhoo),13194,2537,9
Kabza De Small,lastfm,"eMcimbini (feat. Aymos, Samthing Soweto, Mas Musiq & Myztro) - Live",13834,2518,10
DJ Maphorisa,lastfm,MONEY CONSTANT,58557,5722,1
DJ Maphorisa,lastfm,Soweto Baby (feat. Wizkid & DJ Buckz),32023,5653,2
DJ Maphorisa,lastfm,"Ngibolekeni (feat. Seun1401, LeeMcKrazy, Blxckie, Pcee, Madumane & Kabelo Sings)",18629,3534,3
DJ Maphorisa,lastfm,"Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)",24379,3335,4
DJ Maphorisa,lastfm,"Midnight Starring (feat. DJ Tira, Busiswa & Moonchild Sanelly)",14736,3275,5
DJ Maphorisa,lastfm,Makhe (feat. Moonchild Sanelly),11499,2983,6
DJ Maphorisa,lastfm,Amantombazane,11804,2940,7
DJ Maphorisa,lastfm,"Izolo (feat. Madumane, Mpura & Daliwonga)",14836,2899,8
DJ Maphorisa,lastfm,"Dlala Ka Yona (feat. Focalistic, Ricky Lenyora, Uncool MC & Mellow & Sleazy)",17428,2532,9
DJ Maphorisa,lastfm,Izolo,12294,2371,10
Burna Boy,lastfm,Last Last,2436225,245059,1
Burna Boy,lastfm,On The Low,1259661,141545,2
Burna Boy,lastfm,Gbona,1188257,138574,3
Burna Boy,lastfm,Ye,1090384,137219,4
Burna Boy,lastfm,City Boys,1061549,132598,5
Burna Boy,lastfm,For My Hand (feat. Ed Sheeran),780975,122280,6
Burna Boy,lastfm,Alone,1157395,113746,7
Burna Boy,lastfm,TaTaTa (feat. Travis Scott),558167,99702,8
Burna Boy,lastfm,JA ARA E,647328,82723,9
Burna Boy,lastfm,It's Plenty,745190,77988,10
Davido,lastfm,UNAVAILABLE (feat. Musa Keys),758220,98722,1
Davido,lastfm,Fall,436959,61324,2
Davido,lastfm,KANTE (feat. Fave),398636,47309,3
Davido,lastfm,FEEL,266995,34887,4
Davido,lastfm,With You (feat. Omah Lay),268059,32357,5
Davido,lastfm,If,183541,31995,6
Davido,lastfm,Blow My Mind,139233,26100,7
Davido,lastfm,Offa Me (feat. Victoria Monét),143901,25596,8
Davido,lastfm,D & G (feat. Summer Walker),124693,23061,9
Davido,lastfm,Awuke,142731,19303,10
